1,It must be great to know what you want to do.,— Whisper of the Heart (movie),Yoshifumi Kondō
2,Don't let fear stop you from doing the thing you love.,— Sing (movie),Garth Jennings
3,"Once you question your own belief, it's over.",— Naruto Shippuden (book),Masashi Kishimoto
4,Dreams can become reality!,— Boku No Hero Academia (book),Kohei Horikoshi
5,Don't start a fight if you can't end it.,— One Piece (book),Eiichiro Oda
6,Love and hate are two sides of the same coin.,— Hunter X Hunter (book),Yoshihiro Togashi
7,It would be so nice if something made sense for a change.,— Alice's Adventures in Wonderland (book),Lewis Carroll
8,I can move his life like a computer can move your life since our life moves the computer like your computer moves your life.,— Kukkain Quote - TypingZone.com (other),TypingZone.com
9,What is the point if those with the means and power do not fight?,— Attack on Titan (book),Hajime Isayama
10,We need to have a mask that we never take off.,— Tokyo Ghoul (book),Sui Ishida
11,I wish you everything you've ever wanted in your life.,— Funeral (song),Zara Larsson
12,The most important things are the hardest to say.,— Different Seasons (book),Stephen King
13,"One man is no more than another, if he do no more than what another does.",— Don Quixote (book),Miguel de Cervantes
14,The break would never come as long as fear could turn to wrath.,— The Grapes of Wrath (book),John Steinbeck
15,A meal is something you eat. It's not something you name your kid.,— Cheers (other),"James Burrows, Glen Charles, and Les Charles"
16,And all you touch and all you see is all your life will ever be.,— Breathe (In the Air) (song),Pink Floyd
17,I thought that I was dreaming when you said you loved me.,— Ivy (song),Frank Ocean
18,"If you want to get to know someone, find out what makes them angry.",— Hunter X Hunter (book),Yoshihiro Togashi
19,Who wants to have their life planned out for them?,— Hunter X Hunter (book),Yoshihiro Togashi
20,"You can't direct the wind, but you can adjust your sails.",— Civilization IV (game),2K Games
21,All the love gone bad turned my world to black.,— Black (song),Pearl Jam
22,Sometimes the player dreamed it was lost in a story.,— Minecraft (game),Mojang
23,"I thought you want this for my life, for my life. Said you wanted to see me thrive, you lied.",— Panini (song),Lil Nas X
24,"I am what I want you to want, what I want you to feel.",— Faint (song),Linkin Park
25,You're here on some revenge mission for something that happened ten years ago and you don't care whose life you ruin on the way.,— Grand Theft Auto IV (game),Rockstar Games
26,I wanna be the very best like no one ever was.,— Pokémon Theme (song),Pokemon
27,"To fear love is to fear life, and those who fear life are already three parts dead.",— The Stories of Anton Chekhov (book),Anton Chekhov
28,If you think anyone is sane you just don't know enough about them.,— Practical Demonkeeping (book),Christopher Moore
29,Don't try to find a reason for somebody's love.,— One Piece (book),Eiichiro Oda
30,Had to be me. Someone else might have gotten it wrong.,— Mass Effect 3 (game),Bioware
31,The future belongs to those who believe in the beauty of their dreams.,— Haikyuu (book),Haruichi Furudate
32,It would be interesting to know what it is men are most afraid of.,— Crime and Punishment (book),Fyodor Dostoyevsky
33,"If one is not to get into a rage sometimes, what is the good of being friends?",— Middlemarch (book),George Eliot
34,Battles are lost in the same spirit in which they are won.,—,Walt Whitman (book)
35,"Sometimes in life you don't always feel like a winner, but that doesn't mean you're not a winner.",— Public Statement (other),Lady Gaga
36,To fall in love does not mean to love. One can fall in love and still hate.,— The Brothers Karamazov (book),Fyodor Dostoyevsky
37,I despise people who move the goalposts because they think they can't win.,— Kakegurui (book),Homura Kawamoto
38,out set hand would tell say for mean day first after man while tell hand look what good get early,— Dictionary (other),N/A
39,There is nothing like a dream to create the future.,— Civilization VI (game),2K Games
40,Having faith is believing in something you just know ain't true.,— The Adventures of Huckleberry Finn (book),Mark Twain
41,"He was playing games, got you dancing in the middle of the club. Got you dancing in the middle of the club.",— Margin & Gina (song),Polo G
42,"When I say it doesn't hurt me, that means I can bear it.",— Hunter X Hunter (book),Yoshihiro Togashi
43,"What I am trying to say, the love is ours to make so we should make it.",— Bed Peace (song),Jhene Aiko
44,Sometimes the world as you know it just decides to become something else.,— The Night Diary (book),Veera Hiranandani
45,It is only through the eyes of others that our lives have any meaning.,— Naruto Shippuden (book),Masashi Kishimoto
46,The man who lies to the world is the world's slave from then on.,— Atlas Shrugged (book),Ayn Rand
47,"No matter where we live, birds are a natural part of our lives.",— Birds of Boston (book),Chris C. Fisher and Andy Bezener
48,You cannot understand what it is to live as long as I have.,— Last Argument of Kings (book),Joe Abercrombie
49,They don't know that we know they know we know.,— Friends (other),David Crane and Marta Kauffman
50,You're going to need more than one lesson. And you're going to get more than one lesson.,— Citizen Kane (movie),Orson Welles
51,Make sure you marry someone who laughs at the same things you do.,— The Catcher in the Rye J. D. Salinger (book),J. D. Salinger
52,"I don't know who you are, but if you are going to go up the mountain, take me with you.",— The Legend of Zelda: A Link to the Past (game),Nintendo
53,If there is hell at the end make sure that I will be waiting for you there.,— Hunter X Hunter (book),Yoshihiro Togashi
54,I can fly like an eagle and strike like a hawk.,— Initial D: Fifth Stage (other),Mitsuo Hashimoto
55,The inner machinations of my mind are an enigma.,— Spongebob Squarepants (other),Stephen Hillenburg
56,"If you don't share someone's pain, you can never understand them.",— Naruto Shippuden (book),Masashi Kishimoto
57,You're bound to get idears if you go thinkin' about stuff.,— The Grapes of Wrath (book),John Steinbeck
58,"If I want a long boring story with no point to it, I have my life.",— Jerry Seinfeld Quotes (other),Jerry Seinfeld
59,Just because you use a silencer doesn't mean you're not a sniper.,— Two for the Road (movie),Stanley Donen
60,They think you're a freak - or a fake. I know you're not.,— The Man Who Fell to Earth (movie),Nicolas Roeg
61,We feel the pain of a lifetime lost in a thousand days.,— Through the Fire and Flames (song),DragonForce
62,I remember what it was like to love you because I still do.,— Still (song),Dependence
63,You can't buy a bag of peanuts in this town without someone writing a song about you.,— Citizen Kane (movie),Orson Welles
64,"She had waited all her life for something, and it had killed her when it found her.",— Their Eyes Were Watching God (book),Zora Neale Hurston
65,"I know what you chasing, you can only get this feeling from a thug. You can only get this feeling from a thug.",— Margin & Gina (song),Polo G
66,"As they say, the less you know, the better you sleep.",— Kakegurui (book),Homura Kawamoto
67,"Well is it said that neither love nor power admit a rival, even for an hour.",— The Canterbury Tales (book),Geoffrey Chaucer
68,"If you can't find a reason to fight, then you shouldn't be fighting.",— Akame ga kill (book),Tetsuya Tashiro
69,I say money has no value; it's just the way you spend it.,— The Sound and the Fury (book),William Faulkner
70,The powerful play goes on and you may contribute a verse.,— Leaves of Grass (book),Walt Whitman
71,"There is something I must do, there is something I must do. There is nothing you must do, there is nothing you must do.",— Vertigo (movie),Alfred Hitchcock
72,A real man is someone who forgives a woman for her lies!,— One Piece (book),Eiichiro Oda
73,You must know that there is nothing higher and stronger and more wholesome and good for life in the future than some good memory.,— The Brothers Karamazov (book),Fyodor Dostoyevsky
74,Time can bring you down. Time can bend your knees. Time can break your heart.,— Tears In Heaven (song),Eric Clapton
75,You only need a strong will and a clear purpose.,— Tokyo Ghoul (book),Sui Ishida
76,I thought a thought. But the thought I thought was not the thought I thought I thought.,— House of Robots (book),James Patterson
77,I nearly always write just as I nearly always breathe.,— The Grapes of Wrath (book),John Steinbeck
78,People cannot win against their loneliness.,— Naruto Shippuden (book),Masashi Kishimoto
79,When I am near her I am nearer things which are near her.,— Nadja (book),André Breton
80,"I want you to lead me, take me somewhere, don't want to live in a dream one more day.",— In Flames (song),Come Clarity
81,"Two lies that you told me, say you love me and you hate me, I don't know what to do, girl.","— 3, 2, 1 (song)",24kGoldn
82,It's dangerous to go alone. Take this!,— The Legend of Zelda (game),Nintendo
83,It's not bad to dream. But you also have to consider what's realistic.,— Boku No Hero Academia (book),Kohei Horikoshi
84,"It's not dying that you need be afraid of, it's never having lived in the first place.",— The Green Hornet (movie),Michel Gondry
85,And rain fell on the earth forty days and forty nights.,— Genesis 7:12 (NIV) (book),God
86,There's more than I can measure in the treasures of the love that I can find.,— The Wall (song),Kansas
87,Someone stole my mood ring. I don't know how I feel about that.,— Short Joke (other),boredpanda.com
88,I've written the date of his arrest on the wall where the sun shines.,— Pépé le Moko (movie),Julien Duvivier
89,The concept of hope is nothing more than giving up. A word that holds no true meaning.,— Naruto Shippuden (book),Masashi Kishimoto
90,"The role of the artist is to ask questions, not answer them.",— The Stories of Anton Chekhov (book),Anton Chekhov
91,"If you're willing to do whatever it takes, I won't hold back.",— Hunter X Hunter (book),Yoshihiro Togashi
92,The people we are most fond of are not good for us when we are ill.,— Mrs. Dalloway (book),Virginia Woolf
93,The right man in the wrong place can make all the difference in the world.,— Half-Life 2 (game),Valve
94,"Surely it was a good way to die, in the place of someone else, someone I loved.",— Twilight (book),Stephenie Meyer
95,"Ram, remember when you turned down that last meal at home?",— King's Quest V (game),Sierra On-Line
96,The lowest of us would spit on the best of you. You only risk your lives.,— Sawdust and Tinsel (movie),Ingmar Bergman
97,He can never make me be nothing as long as I think that I am something.,— Discourse on Method and Meditations (book),René Descartes
98,"For all the things you've done, for the things you might have done, and for the only thing you have left.",— V for Vendetta (book),Warner Home Video
99,Do not throw the arrow which will return against you.,— Civilization IV (game),Sid Meier
100,"I didn't know the words in front of me, in front of me, and oooooooh, but I don't wanna know.",— Nervous (The Ooh Song) (Mark Mccabe Remix) (song),Gavin James
101,I don't miss your arms around me. I put my hands in the fire when it burns me once.,— Dynamite (song),Nause feat. Pretty Sister
102,"It's not the face that makes someone a monster, it's the choices they make with their lives.",— Naruto Shippuden (book),Masashi Kishimoto
103,A person does not belong to a place until there is someone dead under the ground.,— One Hundred Years of Solitude (book),Gabriel Garcia Marquez
104,"As long as it's for the right cause, there's nothing wrong with playing dirty.",— Tokyo Ghoul (book),Sui Ishida
105,I love you. It's like if I had ten arms to hug you and you had ten arms for me.,— Le Bonheur (movie),Agnès Varda
106,"Get a hold of yourself, you're an adult aren't you?",— Boku No Hero Academia (book),Kohei Horikoshi
107,All of the answers you seek can be found In the dreams that you dream on the way,— Dan Fogelberg (song),Part Of The Plan
108,The sort of words a man says is the sort he hears in return.,— The Iliad (book),Homer
109,"You wait for the sun, but it never quite comes. Some kind of message comes through to you, some kind of message comes through.",— Dan Fogelberg (song),Part Of The Plan
110,"Adam and his wife were both naked, and they felt no shame.",— Genesis 2:25 (NIV) (book),God
111,One of these days these boots are gonna walk all over you.,— These Boots Are Made For Walkin' (song),Nancy Sinatra
112,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",— Norwegian Wood (book),"Haruki Murakami, translated"
113,All the lives we ever lived and all the lives to be are full of trees and changing leaves.,— To the Lighthouse (book),Virginia Woolf
114,Don't you ever let a soul in the world tell you that you can't be exactly who you are.,— Public Statement (other),Lady Gaga
115,Any man that's got the guts to sell his soul for love has got the power to change the world.,— Ghost Rider (movie),Mark Johnson
116,"She told them that the only grace they could have was the grace they could imagine. That if they could not see it, they would not have it.",— Beloved (book),Toni Morrison
117,"But what I mean is, lots of time you don't know what interests you most till you start talking about something that doesn't interest you most. I mean you can't help it sometimes.",— The Catcher in the Rye J. D. Salinger (book),J. D. Salinger
118,I came to realize that I had more to offer this world than just making things that blow up.,— Iron Man (movie),Jon Favreau
119,"It's not too bad when the sun's out, but the sun only comes out when it feels like coming out.",— The Catcher in the Rye J. D. Salinger (book),J. D. Salinger
120,The grim reapers riddles don't need anyone to answer,— Hunter X Hunter (book),Yoshihiro Togashi
121,"If you look down on us like that, we'll chew you up and spit you out.",— Haikyuu (book),Haruichi Furudate
122,There's no room for relationship there's just room to hit it.,— O.P.P (song),Naughty By Nature
123,"Oh dear, I should be more careful around big spiders!",— King's Quest VII: Princeless Bride (game),Sierra On-Line
124,both problem leave thing which people also we point under high interest any any do however also around still work consider point under with when open,— Dictionary (other),N/A
125,The first of the line is tied to a tree and the last is being eaten by the ants.,— One Hundred Years of Solitude (book),Gabriel Garcia Marquez
126,"Above all, the free man is superior to the man who has to serve another.",— The Trial (book),Franz Kafka
127,"One day, somewhere in the future, my work will be quoted!",— Minecraft (game),Mojang
128,As the living it is our responsibility to carry out the wishes of the ones who are gone.,— Akame ga kill (book),Tetsuya Tashiro
129,You could have told me yourself that you loved someone else.,— I Heard It Through the Grapevine (song),Marvin Gaye
130,"When you are no longer able to believe in anything, you will not be able to feel the love in others.",— Clannad (other),Fumihiko Shimo
131,Everyone loves to see the first Robin in their yard in the spring!,— Birds of Boston (book),Chris C. Fisher and Andy Bezener
132,The good thing about computers is that they do what you tell them to do. The bad news is that they do what you tell them to do.,— Civilization VI (game),2K Games
133,Wanting to do it and being suitable for it are different issues.,— Boku No Hero Academia (book),Kohei Horikoshi
134,My three favorite things are eating my family and not using commas.,— Short Joke (other),https://www.rd.com/jokes
135,"To be or not to be a horse rider, that is equestrian.",— Short Joke (other),https://www.rd.com/jokes
136,"I want to keep my dreams, even bad ones, because without them, I might have nothing all night long.",— Catch-22 (book),Joseph Heller
137,"If I can't hear the sound of your heartbeat, what do you call love in your reality?",— Your Reality (song),Dan Salvato
138,"If there are no dogs in heaven, then when I die I want to go where they went.",— Civilization VI (game),2K Games
139,"It's been a long time since you fell in love. You ain't coming out your shell, you ain't really been yourself.",— Say So (song),Doja Cat
140,Tides refers to the surface of the ocean rising and falling.,— Science Literacy Vocabulary (other),Literacy Team
141,I think the knowledge came to him at last - only at the very last.,— Heart of Darkness (book),Joseph Conrad
142,"When you're scared all the time, you reach a point when you wish you were dead.",— Sonatine (movie),Takeshi Kitano
143,"Out of the blue and into the black, they give you this, but you pay for that. And once you're gone, you can never come back, when you're out of the blue and into the black.",— Neil Young (song),"My My, Hey Hey"
144,"It's love. I love people so much I'm fit to bust, sometimes.",— The Grapes of Wrath (book),John Steinbeck
145,"There's just too much to see waiting in front of me, and I know that I just can't go wrong.",— Roll Quote (other),Submitted
146,"We are not desperate for help, we only seek the strong.",— Hunter X Hunter (book),Yoshihiro Togashi
147,"In my next life, I want to be me, and meet you again.",— Hunter X Hunter (book),Yoshihiro Togashi
